id,name,rating,hours,year,desc_preview
BRZZLBF5T245,Need for Speed™ Heat,66.0,,,"🎮 Microsoft StoreHustle by day and risk it all at night in Need for Speed™ Heat, a thrilling race experience that pits you against a city’s rogue police force as you battle your way into street racing"
9P2JXK37PFLZ,UnknownID_9P2JXK37PFLZ,80.0,,,Опис недоступний / No description.
9NXQKPGMHH9G,UnknownID_9NXQKPGMHH9G,0.0,,,Опис недоступний / No description.
C5F2XDQPPJKZ,Dishonored®: Death of the Outsider™,100.0,,,"🎮 Microsoft StoreTake on the role of Billie Lurk (aka Megan Foster), once one of Dunwall's most notorious killers-for-hire. Reunited with your old mentor, the legendary assassin Daud, you undertake th"
BRGPD72KHM3Q,Tom Clancy's The Division,80.0,,,🎮 Microsoft StoreTom Clancy’s The Division is a revolutionary next-gen experience that brings the RPG into a modern military setting for the first time. In the wake of a devastating pandemic that swee
9NBLGGH1Z6FQ,ReCore,84.0,,,"🎮 Microsoft StoreFrom legendary creator Keiji Inafune and the makers of Metroid Prime comes the “ReCore Definitive Edition”, an action-adventure masterfully crafted for a new generation.
 
You are “Jo"
BWMH951M3G3P,RESIDENT EVIL 2,84.0,,,"🎮 Microsoft StoreA deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors.

An unparalleled adrena"
9PHGQPRBBSXK,UnknownID_9PHGQPRBBSXK,74.0,,,Опис недоступний / No description.
9NQVDQS2BC10,UnknownID_9NQVDQS2BC10,0.0,,,Опис недоступний / No description.
9NKV34XDW014,UnknownID_9NKV34XDW014,90.0,,,Опис недоступний / No description.
9MXHL3TT792F,UnknownID_9MXHL3TT792F,72.0,,,Опис недоступний / No description.
9PNPFBPLGCMW,UnknownID_9PNPFBPLGCMW,20.0,,,Опис недоступний / No description.
9P46M5JQ2PTF,UnknownID_9P46M5JQ2PTF,92.0,,,Опис недоступний / No description.
9N3F9256SF8K,UnknownID_9N3F9256SF8K,0.0,,,Опис недоступний / No description.
BTDRTXBKDBRR,Risk: Urban Assault,20.0,,,"🎮 Microsoft StoreLead your troops to victory with Risk Urban Assault! In a post-apocalyptic world, rally your armies and march across some of the most famous cities around the globe. From Shanghai to "
BZGJRJC1FGF3,UnknownID_BZGJRJC1FGF3,92.0,,,Опис недоступний / No description.
9PN0LC4CNLPT,UnknownID_9PN0LC4CNLPT,82.0,,,Опис недоступний / No description.
C3QH42WRGM3R,DOOM,90.0,,,"🎮 Microsoft StoreNow includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and"
9N8NJ74FZTG9,UnknownID_9N8NJ74FZTG9,80.0,,,Опис недоступний / No description.
9PDH7X3J5CZT,UnknownID_9PDH7X3J5CZT,98.0,,,Опис недоступний / No description.
C4G76555T4QN,Dragon Age™ 2,80.0,,,🎮 Microsoft StoreExperience the epic sequel to the 2009 Game of the Year from the critically acclaimed makers of Dragon Age: Origins and Mass Effect 2. You are one of the few who escaped the destructi
9NMNZ4CK59DM,UnknownID_9NMNZ4CK59DM,42.0,,,Опис недоступний / No description.
9N8FQ28Z6QX3,UnknownID_9N8FQ28Z6QX3,88.0,,,Опис недоступний / No description.
9NNPSTWT06VM,UnknownID_9NNPSTWT06VM,48.0,,,Опис недоступний / No description.
9NCNBWZSHZR5,UnknownID_9NCNBWZSHZR5,80.0,,,Опис недоступний / No description.
9PCX1R3DMMWH,NHL® 24 Xbox Series X|S,0.0,,,"🎮 Microsoft StoreEA SPORTS™ NHL® 24’s all-new gameplay features bring authentic on-ice action to life. Experience the rush and fatigue of a high-pressure game with the Exhaust Engine, where sustained "
9N7CJX93ZGWN,UnknownID_9N7CJX93ZGWN,60.0,,,Опис недоступний / No description.
BW9TWC8L4JCS,UnknownID_BW9TWC8L4JCS,82.0,,,Опис недоступний / No description.
9NKFS43DLFFL,UnknownID_9NKFS43DLFFL,80.0,,,Опис недоступний / No description.
9NP9J3T0JWRL,UnknownID_9NP9J3T0JWRL,60.0,,,Опис недоступний / No description.
9PJ1PLJQ7QPN,UnknownID_9PJ1PLJQ7QPN,0.0,,,Опис недоступний / No description.
